일련번호,주소,썸네일,제목,내용,제목_키워드,태그2,태그3,작성일,작성자
11,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235839,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1364483744.300x240.jpg,블로그 | “휴식이 필요해” 번아웃 위험에 처한 개발자,"올해 초 스택 오버플로우(Stack Overflow)가 소프트웨어 개발자 800명을 대상으로 직장에서 행복감을 느끼는지, 건강 유지와 개선을 위해 무엇을 하고 있는지에 관해 설문조사를 실시했다. 신체적 및 정신적 건강 개선을 원한다고 답한 응답자는 각...",개발자,번아웃,스택오버플로우,2022.05.11,Anirban Ghoshal
12,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235784,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-622993568.300x240.jpg,"아파치 카프카에서 ‘주키퍼’ 빠진다…""내부 메타데이터 프로토콜로 대체""","분산 이벤트 스트리밍 플랫폼 ‘아파치 카프카(Apache Kafka)’의 메타데이터 관리 도구 ‘주키퍼(ZooKeeper)’가 단계적으로 제거될 예정이다.?
?


아파치 카프카 프로젝트 관리 위원회(Apache Kafka proje...",아파치 카프카,데이터 관리,소프트웨어 개발,2022.05.11,편집부
13,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/236219,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1326427887.300x240.jpg,"""틈새를 파고든다"" 새로운 프로그래밍 언어 11선",영국의 시인 알렉산더 포프는 “희망은 인간의 가슴에서 영원히 샘솟는다(Hope springs eternal in the human breast)”라고 말했으니 해커가 아닌 시인이라 할지라도 새로운 프로그래밍 언어 발견에 대한 희망을 이해할 것이라 본다...,개발자,소프트웨어 개발,프로그래밍 언어,2022.05.12,Aviad Mizrachi
14,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235999,https://www.itworld.co.kr/files/ciokr/2022/05/jump_for_joy_excitement_by_val_vesa_cc0_via_unsplash_1200x800-100759674-large.300x240.webp,"“C#의 무서운 상승세"" 5월 개발언어 인기 순위",티오베 인덱스(Tiobe Index)에 따르면 마이크로소프트의 프로그래밍 언어 ‘C#’의 인기가 심상치 않다. 2022년 5월 C#의 순위는 작년 5월과 동일하게 5위(6.39%)를 기록했지만 이를 지목한 비율은 1년 전(4.41%)에 비해 2%P 가...,프로그래밍 언어,개발 언어,티오베 인덱스,2022.05.12,Matthew Tyson
15,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/236379,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1300653852.300x240.jpg,"구글이 포스트그레SQL 시장에서 AWS, 애저와 어깨를 겨룰 수 있는 이유",레거시에서 클라우드의 오픈소스 데이터베이스로 데이터를 옮기는 기업이 증가하는 가운데 구글 클라우드 플랫폼(GCP)이 포스트그레SQL(PostgreSQL)과 호환되는 완전 관리 서비스형 데이터베이스(DBaaS)를 알로이DB(AlloyDB)라는 이름으로 ...,오픈소스데이터베이스,포스트그레SQL,알로이DB,2022.05.13,정응섭 한국 지사장
16,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/236574,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-854468224.300x240.jpg,"MS, ‘닷넷 7’ 프리뷰 4 공개…“정규식 개선ㆍ캐시 메트릭 지원”",‘닷넷 7(.NET 7)’의 네 번째 프리뷰가 지난 5월 10일(현지 시각) 공개됐다. 정규표현식 라이브러리에서의 스팬(span) 지원과 아이메모리캐시(IMemoryCache)의 적중률 및 실패율 통계 등이 추가됐다.? 마이크로소프트 닷넷 웹...,마이크로소프트,닷넷,닷넷 7,2022.05.17,Matthew Tyson
17,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/236859,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1294174372.300x240.jpg,블로그 | 당신의 클라우드옵스 계획은 너무 늦었다,"필자는 종종 워터폴 소프트웨어 개발 라이프 사이클 시대를 떠올린다. 당시엔 각 작업이 개별적으로 시작해 종료됐다. 한 작업이 끝난 결과물이 다른 문서화나 코드의 시작점이었다. 시간이 오래 걸리는 개발 방식이었고 방향을 바꾸기가 사실상 불가능했지만, 관...",클라우드옵스,데브옵스,ops,2022.05.18,허은애 기자
18,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237004,https://www.itworld.co.kr/files/itworld/ITW_202205_02/m19-GettyImages-1306440023.300x240.jpg,"""멀티 클라우드의 ID 정책을 통합한다"" 오픈소스 프로젝트 '헥사' 공개","18일(현지시간) ID 오케스트레이션 업체 스트라타 아이덴티티(Strata Identity)가 새로운 오픈소스 프로젝트를 공개했다. 애저, AWS 및 구글처럼 호환되지 않는 클라우드의 ID 시스템을 통합해 사용자가 멀티 클라우드 플랫폼에서 ID 및 액...",스트라타 아이덴티티,IDQL,헥사,2022.05.19,Hans Dockter
19,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237149,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1148800928.300x240.jpg,"""개발 언어 지배자는 여전히 자바스크립트와 파이썬""","개발자의 언어 선호도에서 자바스크립트와 파이썬의 강세가 계속되고 있다. 러스트의 상승세도 만만치 않은 것으로 나타났다. 이는 지난 4일 공개된 '개발자 현황 22번째 에디션(State of the Developer Nation, 22nd Edition...",자바스크립트,파이썬,러스트,2022.05.20,Matt Asay
20,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237144,https://www.itworld.co.kr/files/ciokr/2022/05/time_clock_history_coffee_java_by_matthew_kerslake_cc0_via_unsplash_1200x800-100765108-large.300x240.webp,‘코틀린 1.7.0’ 베타 출시…“빌더 타입 추론 변경”,"젯브레인(JetBrains)에서 만든 크로스 플랫폼 오픈소스 프로그래밍 언어의 최신 버전 ‘코틀린 1.7.0’이 베타 릴리즈 단계에 도달했다. 이번 업데이트는 빌더 타입 추론 변경사항과 새로운 메모리 관리자 등이 특징이다.
?


업체에 따르...",젯브레인,코틀린,프로그래밍 언어,2022.05.20,Matthew Tyson
21,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237449,https://www.itworld.co.kr/files/itworld/ITW_202205_02/blurred_silhouettes_amid_abstract_technology_future_careers_by_alphaspirit_gettyimages-1132079855_2400x1600-100811604-large.300x240.png,커리어 로드맵 : 데이터 엔지니어,"데이터 엔지니어링은 소프트웨어 엔지니어링과 데이터 과학의 요소를 결합한, IT 영역에서 빠르게 성장 중인 IT 분야 중 하나다. Indeed.com에 따르면, 데이터 엔지니어는 데이터 과학 프로젝트에 사용되는 아키텍처를 개발하고 유지하며 데이터가 서버...",데이터엔지니어,데이터과학,머신러닝,2022.05.23,Paul Krill
22,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237439,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-a7983584.300x240.jpg,"“자바 동시성, 더 쉬워진다” 새 오픈JDK 제안","오픈JDK(OpenJDK) 커뮤니티에서 인큐베이션 중인 새로운 제안 ‘구조화된 동시성(JEP 428: Structured Concurrency)’은 서로 다른 자바 스레드에서 실행되는 여러 작업을 단일 작업 단위로 처리한다.?

현재 오픈JD...",자바,오픈JDK,JEP,2022.05.23,Jonathan Hassell
23,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237704,https://www.itworld.co.kr/files/itworld/ITW_202205_02/GettyImages-1062150656.300x240.jpg,"액티비전 자회사 레이븐 소프트웨어, 노조 결성 투표 통과돼","월요일(현지 시간), 액티비전 블리자드 자회사인?액티비전의 레이븐 소프트웨어 디비전에서 시행한 노조 결성 찬반 투표가 통과됐다. 미국 게임업계의 대형 퍼블리시 업체에서 처음으로 결성된 노조로 주목받고 있다.

레이븐 소프트웨어에서 콜 오브 듀...",노동조합,액티비전블리자드,레이븐소프트웨어,2022.05.25,Serdar Yegulalp?
24,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237644,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-808139448.300x240.jpg,프로젝트 '레이든' 마침내 활동 시작…“자바 플랫폼에 정적 이미지 도입”,"느린 시작, 최대 성능 도달까지 걸리는 시간, 큰 설치 공간 등 자바의 문제점을 해결하기 위한 프로젝트가 현재 진행 중이다. 2년 넘게 논의된 ‘프로젝트 레이든(Project Leyden)’은 JDK 및 자바 플랫폼에 정적 이미지를 도입해 기존 이슈를...",자바 플랫폼,정적 이미지,JDK,2022.05.25,Serdar Yegulalp
25,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/237824,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1314399750.300x240.jpg,"""코드 맥락에 따라 함수 자동 제안""…‘깃허브 코파일럿’, 올여름 나온다",마이크로소프트가 5월 24일(현지 시각) 연례 빌드 개발자 컨퍼런스에서 코드 편집기에 입력한 내용에 따라 코드 또는 함수를 제안하는 AI 기반 코딩 어시스턴트 ‘깃허브 코파일럿(GitHub Copilot)’이 올여름 출시될 예정이라고 발표했다. 아울러...,마이크로소프트,깃허브,깃허브 코파일럿,2022.05.26,Matthew Tyson
26,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238124,https://www.itworld.co.kr/files/itworld/ITW_202205_02/GettyImages-1349344437.300x240.jpg,"""쿠버네티스와 깃옵스는 빵과 버터"" 구글이 깃옵스를 간소화하는 방법","구글이 컨테이너화된 애플리케이션을 대규모로, 지속적으로 구성 및 관리하는 조직을 지원하는 일련의 오픈소스 툴을 구축하고 나서면서 부상 중인 깃옵스(Gitops)에 본격적으로 뛰어들고 있다.
?
컨테이너 오케스트레이터인 쿠버네티스(2014년 구...",깃옵스,오케스트레이터,컨테이너,2022.05.27,Isaac Sacolick
27,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238019,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1140260221.300x240.jpg,"""안드로이드ㆍiOS UI를 한번에"" MS, '닷넷 마우이' 공식 출시","마이크로소프트가 닷넷 개발자에게 사용자 인터페이스 구축을 위한 크로스 플랫폼 스택을 제공하는 ‘닷넷 마우이(.NET MAUI; Multi-platform App UI)’ 프레임워크를 공식 출시했다.
?


닷넷 마우이 프레임워크는 윈도우, i...",마이크로소프트,닷넷,닷넷 마우이,2022.05.27,Michael Hill
28,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238299,https://www.itworld.co.kr/files/itworld/ITW_202205_02/GettyImages-485922899.300x240.jpg,"""인간 언어 영역에서 앱 만들기"" MS '파워 페이지'가 꿈꾸는 미래",마이크로소프트의 파워 플랫폼(Power Platform)을 구성하는 로우코드 및 노코드 툴이 마이크로소프트는 물론 전 세계 기업에 점점 더 중요해지고 있다. 이런 변화는 팬데믹과 그에 따른 업무 패턴의 변화에 의해 강제된 갑작스러운 디지털 전환 때문에...,파워페이지,PowerPages,,2022.05.30,Susan Bradley
29,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238164,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-950928116.300x240.jpg,"“IT 자격증 가치 하락세, 비인증 역량은 14년 만에 최대치” 美 푸트 파트너스","2022년 1분기 ‘비인증 기술 역량(non-certified tech skills)’을 가진 인력의 연봉 대비 프리미엄이 기록적으로 증가한 반면 IT 분야 자격증을 보유한 인력의 연봉 대비 프리미엄은 하락했다.?

숙련된 IT 전문가를 채용...",IT 자격증,비인증 역량,푸트 파트너스,2022.05.30,David Linthicum
30,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238369,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-80716126.300x240.jpg,타입스크립트 4.7 출시…“노드.js 16용 ESM 지원”,‘타입스크립트 4.7(TypeScript 4.7)’이 프로덕션 릴리즈로 출시됐다. 마이크로소프트가 자바스크립트에 정적 타입 문법을 추가해 만든 이 오픈소스 프로그래밍 언어의 최신 버전은 노드.js 16(Node.js 16)에 ECMA스크립트(ESM) ...,마이크로소프트,타입스크립트,자바스크립트,2022.05.31,Anirban Ghoshal?
31,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238629,https://www.itworld.co.kr/files/itworld/ITW_202206_01/Unity_0602.300x240.png,"유니티, ‘MWU 코리아 어워드 2022’ 개최…7월 1일부터 접수 시작","유니티 코리아가 국내 유니티 크리에이터를 위한 ‘MWU 코리아 어워드 2022(Made with Unity Korea Awards 2022)’를 개최한다고 밝혔다.
?


2017년부터 진행된 ‘MWU 코리아 어워드’는 유니티 엔진 기반의 우...",유니티,크리에이터,어워드,2022.06.02,Matthew Tyson
32,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238569,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1035789076.300x240.jpg,"프론트엔드 아키텍처의 진화, 리액티브 자바스크립트","현재 소프트웨어 개발에서 가장 역동적인 분야는 프론트 엔드 아키텍처다. 동적인 사용자 인터페이스를 구축하기 위한 더욱 강력한 방법을 고안하고자 여러 혁신가들이 첨단 기술을 발전시키고 있다. 이들 작업은 대부분 맹렬한 속도로, 공개적으로 진행되고 있다....",자바스크립트,프론트엔드아키텍처,프론트엔드,2022.06.02,Josh Fruhlinger
33,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238534,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1040410478.300x240.jpg,데이터가 서말이라도 '쉬워야' 꿴다…전천후 멀티툴 '파이썬'이 뜬다,"파이썬은 R을 넘어서지는 못했을 수 있다. 하지만 사용 편의성과 이에 힘입은 인기 덕에 머지않아 데이터 과학 분야의 주류가 될 조짐이 보인다.
?


넷플릭스의 제품 혁신 및 개인화 담당 본부장 크리스틴 도이그는 “(넷플릭스에 데이터 과학 팀...",파이썬,R언어,데이터과학,2022.06.02,Lucas Mearian
34,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238519,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-503484300.300x240.jpg,개발·전략 모두 할 수 있다면··· ‘코딩 리더’에 주목할 이유,"개발자의 정년은 짧아서 관리직 전환만이 유일한 전망이며, 이러한 전환은 현업으로 돌아갈 수 없는 외길이라는 인식이 많다. 하지만 이러한 인식이 바뀌고 있다.?

소프트웨어 업계의 많은 리더가 개발자 출신이다. 개발자는 기술에 능숙해지고 자신감...",코딩 리더,개발자,IT 리더십,2022.06.02,Paul Krill?
35,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238834,https://www.itworld.co.kr/files/itworld/ITW_202206_01/appstore_exploit.300x240.jpg,블로그 | 애플이 앱스토어 해킹 통계를 공개한 이유,"애플이 수백만 건에 해당하는 부정행위가 매해 앱 스토어와 사용자에게 시도되고 있다며 관련 수치를 공개했다.?또한 2021년 기준 15억 달러 규모의 사기 거래를 막아냈으며, 2020년에도 비슷한 규모의 조치를 취했다고 밝혔다.
?

...",애플,앱스토어,개발자,2022.06.03,Paul Krill?
36,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238829,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1142207430.300x240.jpg,우리가 알던 '기술 부채' 통념은 모두 틀렸다,"“빚은 여느 덫과 다르지 않다. 들어가기는 쉽고, 빠져나오기는 어렵다.” (조시 빌링스, 미국의 유머 작가)


IT 분야에서도 마찬가지다. 삶에서와 똑같이 말 자체만으로도 스트레스를 받고 짐스러운 느낌이 든다. 소프트웨어 엔지니어링에서 '기술 부채(...",기술부채,TechnicalDebt,,2022.06.03,편집부
37,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238814,https://www.itworld.co.kr/files/itworld/ITW_202206_01/java19_jdk19_new_features.300x240.jpg,자바19에 추가될 핵심 기능 7가지,"올 9월 출시될 자바 개발 키트(JDK) 19 버전의 7번째 기능으로 구조적 동시성이 추가됐다. 멀티쓰레드 프로그래밍을 간편하게 지원하기 위한 요소다. 구조적 동시성 외에 미리 공개된 6가지 핵심 기능에는 레코드 패턴, 외부 함수와 메모리API(프리뷰...",자바,자바19,java,2022.06.03,Jonny Evans
38,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238844,https://www.itworld.co.kr/files/ciokr/2022/06/GettyImages-857874124.300x240.jpg,C++ 23에서 컴파일 더 빨라진다,오는 2023년 완성될 예정인 C++ 프로그래밍 언어의 차기 버전 ‘C++ 23’은 표준 라이브러리 모듈과 더 빠른 컴파일을 지원한다.?C++을 개발한 비얀 스트로스트룹은 이번 업그레이드에 표준 라이브러리 모듈(std)과 코루틴 일부 지원이 ...,C++,C++ 23,프로그래밍 언어,2022.06.07,Matthew Tyson
39,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239204,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-480386141.300x240.jpg,“자바가 더 좋아지는 방법” JDK 개선 제안 프로세스와 최신 JEP,"자바는 널리 사용되며 많은 요소가 자바에 의존하는 만큼 소프트웨어 인프라의 중요한 한 부분이다. 이 때문에 자바 플랫폼은 안정성을 중시하지만, 한편으로는 변화하는 환경에 적극적으로 대응하고 있다. 자바를 사용하는 사람들의 창의성도 이런 변화에 한몫한다...",자바,JDK,오픈소스,2022.06.08,Matthew Tyson
40,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239199,https://www.itworld.co.kr/files/itworld/ITW_202206_01/hands-cropping-picture-frame_arrows_trends_forward-thinking_future-trends_by-photo-by-ian-noble-on-unsplash-100819127-large.300x240.jpg,블로그 | 서버리스와 컨테이너의 결합에 주목하라,"서버리스 컴퓨팅이 클라우드 업계의 핵심 서비스로 자리 잡고 있다. 클라우드 모니터링 서비스 업체 데이터도그(DataDog)가 6월에 공개한 보고서에 따르면,?기업 절반 이상이 아마존, 마이크로소프트, 구글 중 한 곳에서 서버리스 컴퓨팅을 사용...",AWS,람다,컨테이너,2022.06.08,Neal Weinberg
41,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239414,https://www.itworld.co.kr/files/ciokr/2022/06/GettyImages-1178539069.300x240.jpg,개발자가 알아야 할 클라우드 비용 절감 팁 12가지,"일부 개발자는 컴퓨팅 비용의 관리를 데브옵스팀의 책임이라고 생각한다. 소프트웨어를 코딩하고 배포하지만 비용은 걱정하지 않는 것이다. 잘못된 생각이다.

현명한 개발자는 자신의 코딩 결과물이 회사의 재무에 큰 차이를 만든다는 사실을 알고 있다. 용량이 ...",클라우드 비용,코딩,프로그래머,2022.06.09,Serdar Yegulalp
42,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239399,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1043738948.300x240.jpg,"슬랙?깃허브?구글 드라이브를 따로 검색하는 데 지쳤다면? ""SQL로 한꺼번에""","누구나 항상 겪는 일이다. 찾는 단어가 도대체 어디에 있는지 알 수 없어서 슬랙, 깃허브, 구글 드라이브, 구글 시트, 젠데스크 등 다양한 서비스를 일일이 다 뒤져 보는 일이다. 이때 스팀파이프(Steampipe) 대시보드를 사용하면 이 과정을 매끄럽...",SQL,슬랙,깃허브,2022.06.09,Serdar Yegulalp
43,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239234,https://www.itworld.co.kr/files/itworld/ITW_202205_02/GettyImages-1277229020.300x240.jpg,"머신러닝 라이브러리 대표주자, 텐서플로우의 이해","머신러닝은 복잡한 분야지만 머신러닝 모델을 구현하는 과정은 데이터 수집, 모델 교육, 예측 수행, 이후 결과 조정 과정을 쉽게 해주는 구글 텐서플로우(TensorFlow)와 같은 머신러닝 프레임워크 덕분에 과거에 비해 훨씬 더 간편해졌다.
?...",텐서플로우,TensorFlow,,2022.06.09,Paul Krill
44,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239214,https://www.itworld.co.kr/files/ciokr/2022/06/luke-chesser-LG8ToawE8WQ-unsplash.300x240.jpg,"깃허브, 러스트 언어용 공급망 보안 도구 추가","깃허브의 여러 공급망 보안 기능을?러스트 카고(Rust Cargo) 파일에 사용할 수 있게 됐다.?자문 데이터베이스(Advisory Database), 디펜더봇 경보(Dependabot Alerts), 디펜던시 그래프(Dependen...",러스트,깃허브,자문데이터베이스,2022.06.09,Anirban Ghoshal
